trajectory_id,step,query,new_query,action,action_name,reward,done,ndcg_before,ndcg_after,recall_before,recall_after,cost,cum_cost,elapsed_ms,cum_elapsed_ms
0,0,what is pcnt,what is pcnt,3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.08,0.08
1,0,how long is a college hockey game,how long is a college hockey game,3,STOP,0.000000,True,0.630930,0.630930,1.000000,1.000000,0.000000,0.000000,0.09,0.09
2,0,what is pastoral medicine,What is pastoral medicine?,0,QueryReform,-1.212977,False,0.430677,0.430677,1.000000,1.000000,1.000000,1.000000,1277.86,1277.86
2,1,What is pastoral medicine?,"Define pastoral medicine as a field of study and practice that integrates theological, spiritual, and psychological care with medical and health-related concerns, focusing on the holistic well-being of individuals and communities.",0,QueryReform,-3.535860,False,0.430677,0.221065,1.000000,1.000000,1.000000,2.000000,12699.82,13977.68
2,2,"Define pastoral medicine as a field of study and practice that integrates theological, spiritual, and psychological care with medical and health-related concerns, focusing on the holistic well-being of individuals and communities.","Define pastoral medicine as a field of study and practice that integrates theological, spiritual, and psychological care with medical and health-related concerns, focusing on the holistic well-being of individuals and communities.",3,STOP,0.000000,True,0.221065,0.221065,1.000000,1.000000,0.000000,2.000000,0.06,13977.74
3,0,what is ownership of a corporation called,Ownership of a corporation is called equity or stock.,0,QueryReform,-1.622859,False,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3737.16,3737.16
3,1,Ownership of a corporation is called equity or stock.,Ownership of a corporation is called equity or stock. company,2,PseudoRelevanceFeedback,-0.581969,False,0.000000,0.000000,0.000000,0.000000,0.300000,1.300000,1691.82,5428.97
3,2,Ownership of a corporation is called equity or stock. company,Ownership of a corporation is called equity or stock in a company.,0,QueryReform,-1.511491,True,0.000000,0.000000,0.000000,0.000000,1.000000,2.300000,3068.95,8497.92
4,0,what is prevail,what is prevail likes,2,PseudoRelevanceFeedback,-0.476236,False,0.000000,0.000000,0.000000,0.000000,0.300000,0.300000,1057.41,1057.41
4,1,what is prevail likes,what is prevail likes,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.05,1057.47
5,0,what is overhead rate in managerial accounting?,what is overhead rate in managerial accounting?,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.11,0.11
6,0,what is price of pressure treated lumber 2x6x8,what is price of pressure treated lumber 2x6x8 cart,2,PseudoRelevanceFeedback,-4.961693,False,0.356207,0.244651,1.000000,1.000000,0.300000,0.300000,26631.48,26631.48
6,1,what is price of pressure treated lumber 2x6x8 cart,what is price of pressure treated lumber 2x6x8 cart,1,Rerank,-0.357016,False,0.244651,0.500000,1.000000,1.000000,0.300000,0.600000,3406.29,30037.77
6,2,what is price of pressure treated lumber 2x6x8 cart,What is the price of a 2x6x8 pressure treated lumber board?,0,QueryReform,-1.704036,True,0.500000,0.333333,1.000000,1.000000,1.000000,1.600000,2224.22,32261.98
7,0,what is outlook data file,what is outlook data file,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.06,0.06
8,0,how long is a flight from chicago to australia,how long is a flight from chicago to australia,3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.08,0.08
9,0,what is ott media,what is ott media,1,Rerank,-0.100114,False,0.218104,0.500000,1.000000,1.000000,0.300000,0.300000,2183.43,2183.43
9,1,what is ott media,what is ott media,1,Rerank,-0.706632,False,0.500000,0.500000,1.000000,1.000000,0.300000,0.600000,2439.79,4623.23
9,2,what is ott media,what is ott media broadcasting,2,PseudoRelevanceFeedback,-1.982009,True,0.500000,0.000000,1.000000,0.000000,0.300000,0.900000,1092.05,5715.28
