query_id,doc_id,relevance,iteration
1173767,64983,1,0
1173767,64984,1,0
1173767,64985,1,0
1173767,64990,1,0
1164686,120127,1,0
1164686,120130,1,0
1164686,120133,1,0
1164686,120136,1,0
85607,134309,1,0
85607,134310,1,0
85607,134311,1,0
85607,134312,1,0
527387,143710,1,0
527387,143712,1,0
527387,143716,1,0
527387,143717,1,0
565393,144735,1,0
565393,144738,1,0
565393,144739,1,0
565393,144744,1,0
585098,147887,1,0
585098,147888,1,0
585098,147889,1,0
585098,147893,1,0
487223,154621,1,0
487223,154622,1,0
487223,154623,1,0
487223,154626,1,0
1164180,172358,1,0
1164180,172362,1,0
1164180,172364,1,0
1164180,172366,1,0
1164180,172367,1,0
669253,187424,1,0
669253,187425,1,0
669253,187426,1,0
669253,187429,1,0
565345,188366,1,0
565345,188367,1,0
565345,188370,1,0
565345,188371,1,0
90609,190274,1,0
90609,190276,1,0
90609,190280,1,0
90609,190281,1,0
1173673,207684,1,0
1173673,207685,1,0
1173673,207687,1,0
1173673,207688,1,0
1173673,207689,1,0
151080,222570,1,0
151080,222571,1,0
151080,222572,1,0
151080,222577,1,0
151080,222578,1,0
151080,222579,1,0
657847,222815,1,0
657847,222817,1,0
657847,222823,1,0
657847,222824,1,0
206087,223541,1,0
206087,223543,1,0
206087,223545,1,0
206087,223550,1,0
462179,228606,1,0
462179,228608,1,0
462179,228611,1,0
462179,228612,1,0
644004,229450,1,0
644004,229452,1,0
644004,229453,1,0
644004,214706,1,0
214224,229866,1,0
214224,229867,1,0
214224,229868,1,0
214224,229873,1,0
457882,232429,1,0
457882,232431,1,0
457882,232432,1,0
457882,232435,1,0
457882,232436,1,0
459880,238023,1,0
459880,238024,1,0
459880,238025,1,0
459880,238027,1,0
459880,238030,1,0
590297,239291,1,0
590297,242319,1,0
590297,242321,1,0
590297,242324,1,0
582382,251892,1,0
582382,251893,1,0
582382,251895,1,0
582382,251897,1,0
582382,251899,1,0
499994,255502,1,0
499994,255504,1,0
499994,255506,1,0
499994,255509,1,0
429230,255659,1,0
429230,255661,1,0
429230,255662,1,0
429230,255665,1,0
661280,263119,1,0
661280,263120,1,0
661280,263121,1,0
661280,263126,1,0
